ID,学历要求,工作经验,薪资
5298966,本科,不限,2k-3k
5298474,本科,1-3年,7k-14k
5295913,本科,不限,7k-14k
5295411,本科,1-3年,8k-16k
5288845,本科,3-5年,10k-20k
5281523,本科,不限,3k-5k
5280822,本科,不限,2k-3k
5265178,本科,3-5年,7k-12k
5253335,本科,5-10年,15k-30k
5247557,本科,3-5年,12k-24k
5246226,本科,1-3年,15k-25k
5237655,本科,1-3年,10k-15k
5229521,本科,1-3年,7k-14k
5229237,本科,3-5年,18k-30k
5228268,本科,5-10年,30k-50k
5214023,本科,5-10年,35k-65k
5205509,本科,5-10年,20k-40k
5203537,本科,3-5年,20k-40k
5183495,本科,1-3年,8k-12k
5173528,本科,3-5年,15k-27k
5167551,本科,3-5年,15k-30k
5151976,不限,3-5年,10k-20k
5151346,本科,3-5年,15k-30k
5133011,本科,不限,10k-20k
5115494,本科,3-5年,15k-25k
5112176,本科,不限,20k-35k
5095446,本科,1-3年,8k-15k
5084989,本科,1-3年,5k-9k
5084959,硕士,1-3年,20k-30k
5084058,大专,3-5年,10k-20k
5075030,本科,1-3年,15k-25k
5067015,硕士,1-3年,20k-40k
5058514,本科,3-5年,20k-40k
5058514,本科,3-5年,20k-40k
5046047,本科,3-5年,15k-20k
5037237,本科,1-3年,3k-6k
5031502,本科,应届毕业生,10k-20k
5031061,本科,应届毕业生,10k-20k
5030681,本科,应届毕业生,10k-20k
5024476,本科,3-5年,15k-25k
5021443,硕士,1-3年,10k-15k
5020913,本科,3-5年,10k-20k
5016213,本科,3-5年,10k-20k
5010976,硕士,1-3年,16k-30k
5002454,本科,应届毕业生,10k-20k
4996477,本科,应届毕业生,12k-24k
4983118,本科,1-3年,10k-20k
4966883,硕士,不限,16k-24k
4957675,本科,1-3年,12k-16k
4928064,本科,5-10年,20k-40k
4916502,本科,1-3年,10k-15k
4910076,本科,1-3年,8k-15k
4899093,本科,1-3年,6k-9k
4894988,本科,5-10年,15k-30k
4890544,不限,1-3年,14k-20k
4883641,硕士,1-3年,15k-30k
4867010,本科,3-5年,20k-35k
4864988,本科,5-10年,20k-30k
4836597,本科,5-10年,25k-35k
4830627,本科,1-3年,5k-10k
4812837,本科,3-5年,10k-20k
4804323,本科,3-5年,15k-30k
4792322,本科,3-5年,15k-30k
4774800,本科,1-3年,6k-12k
4765174,本科,3-5年,15k-25k
4757834,本科,3-5年,20k-40k
4757428,本科,3-5年,15k-25k
4755344,本科,3-5年,20k-40k
4739438,本科,1-3年,8k-15k
4735530,本科,1-3年,15k-20k
4687784,本科,1-3年,15k-25k
4646123,本科,1-3年,8k-15k
4602329,本科,3-5年,13k-25k
4586305,本科,3-5年,10k-18k
4584794,本科,3-5年,20k-40k
4579107,本科,3-5年,20k-40k
4574609,本科,3-5年,15k-30k
4571386,本科,不限,4k-8k
4568696,本科,3-5年,15k-25k
4535740,本科,5-10年,15k-30k
4527714,本科,3-5年,15k-30k
4467010,本科,1-3年,8k-15k
4465672,本科,1-3年,8k-15k
4430005,本科,3-5年,15k-30k
4426819,大专,3-5年,7k-14k
4385214,本科,3-5年,15k-25k
4375796,本科,3-5年,20k-40k
4341361,本科,1-3年,10k-20k
4315150,大专,不限,5k-10k
4224071,本科,3-5年,14k-25k
4210417,本科,5-10年,25k-50k
4143575,本科,1-3年,6k-8k
4112258,本科,1-3年,8k-15k
4070433,硕士,1-3年,15k-30k
4046745,本科,应届毕业生,4k-8k
4044956,本科,1年以下,20k-40k
3975218,本科,3-5年,12k-24k
3973887,本科,3-5年,10k-20k
3968931,本科,1-3年,10k-15k
3945445,大专,3-5年,13k-25k
3908272,本科,不限,10k-20k
3902867,本科,5-10年,20k-35k
3807239,本科,5-10年,20k-40k
3803867,本科,1-3年,10k-20k
3760775,本科,1-3年,20K-40K
3681440,本科,1-3年,20k-35k
3639644,本科,1-3年,15K-30K
3536483,硕士,不限,10k-20k
3462732,本科,1-3年,15k-30k
3413899,本科,3-5年,18k-36k
3406845,本科,3-5年,10k-15k
3403083,硕士,1-3年,15k-30k
3328788,本科,3-5年,8k-15k
3246596,本科,3-5年,18k-25k
3167494,本科,1-3年,8k-12k
3058921,本科,1-3年,8k-10k
3043500,本科,1-3年,5k-7k
2989157,本科,1-3年,15k-30k
2880998,本科,5-10年,14k-20k
2857336,本科,3-5年,20k-30k
2783123,本科,1-3年,15k-30k
2428796,本科,1-3年,8k-15k
2382205,本科,1-3年,8k-12k
2353221,大专,1-3年,4k-8k
1442148,不限,3-5年,15k-30k
1429188,本科,不限,10k-15k
